gradient_weight,merge_weight,Score,MaxTile
60.0,40.0,16370,8192
60.0,40.0,16332,8192
60.0,40.0,16336,8192
60.0,40.0,16420,8192
60.0,40.0,23580,16384
60.0,50.0,8242,4096
60.0,50.0,12332,8192
60.0,50.0,16396,8192
60.0,50.0,16356,8192
60.0,50.0,15902,8192
60.0,50.0,15430,8192
60.0,50.0,16294,8192
60.0,50.0,16322,8192
60.0,50.0,20506,16384
60.0,50.0,15882,8192
60.0,60.0,8244,4096
60.0,60.0,12314,8192
60.0,60.0,14354,8192
60.0,60.0,12214,8192
60.0,60.0,15388,8192
60.0,60.0,15780,8192
60.0,60.0,16338,8192
60.0,60.0,16422,8192
60.0,60.0,14356,8192
60.0,60.0,16424,8192
60.0,70.0,8132,4096
60.0,70.0,12066,8192
60.0,70.0,12300,8192
60.0,70.0,12320,8192
60.0,70.0,15022,8192
60.0,70.0,14198,8192
60.0,70.0,12338,8192
60.0,70.0,16154,8192
60.0,70.0,16270,8192
60.0,70.0,24354,16384
60.0,80.0,8224,4096
60.0,80.0,11112,8192
60.0,80.0,12428,8192
60.0,80.0,13468,8192
60.0,80.0,14364,8192
60.0,80.0,11224,8192
60.0,80.0,16404,8192
60.0,80.0,12266,8192
60.0,80.0,16156,8192
60.0,80.0,16268,8192
60.0,90.0,8172,4096
60.0,90.0,8212,4096
60.0,90.0,7762,4096
60.0,90.0,8290,4096
60.0,90.0,12340,8192
60.0,90.0,13494,8192
60.0,90.0,15422,8192
60.0,90.0,14382,8192
60.0,90.0,15540,8192
60.0,90.0,16370,8192
60.0,100.0,7760,4096
60.0,100.0,8268,4096
60.0,100.0,7246,4096
60.0,100.0,12314,8192
60.0,100.0,13582,8192
60.0,100.0,16392,8192
60.0,100.0,16358,8192
60.0,100.0,16020,8192
60.0,100.0,21640,16384
60.0,100.0,24582,16384
70.0,0.0,5308,4096
70.0,0.0,6108,4096
70.0,0.0,6252,4096
70.0,0.0,8160,4096
70.0,0.0,8130,4096
70.0,0.0,11830,8192
70.0,0.0,14376,8192
70.0,0.0,14238,8192
70.0,0.0,16426,8192
70.0,0.0,16340,8192
70.0,10.0,8424,4096
70.0,10.0,7986,4096
70.0,10.0,8234,4096
70.0,10.0,11484,8192
70.0,10.0,12332,8192
70.0,10.0,12334,8192
70.0,10.0,16294,8192
70.0,10.0,15116,8192
70.0,10.0,16048,8192
70.0,10.0,24482,16384
70.0,20.0,8230,4096
70.0,20.0,8236,4096
70.0,20.0,11322,8192
70.0,20.0,8114,4096
70.0,20.0,12316,8192
70.0,20.0,14130,8192
70.0,20.0,12332,8192
70.0,20.0,12028,8192
70.0,20.0,15786,8192
70.0,20.0,16332,8192
70.0,30.0,4342,2048
70.0,30.0,7410,4096
70.0,30.0,7744,4096
70.0,30.0,12286,8192
70.0,30.0,11272,8192
70.0,30.0,16144,8192
70.0,30.0,16392,8192
70.0,30.0,14418,8192
70.0,30.0,16256,8192
70.0,30.0,15900,8192
70.0,40.0,12068,8192
70.0,40.0,13360,8192
70.0,40.0,14392,8192
70.0,40.0,15360,8192
70.0,40.0,16392,8192
70.0,40.0,15404,8192
70.0,40.0,16244,8192
70.0,40.0,15156,8192
70.0,40.0,14342,8192
70.0,40.0,20512,16384
70.0,50.0,15426,8192
70.0,50.0,16402,8192
70.0,50.0,14360,8192
70.0,50.0,16402,8192
70.0,50.0,14284,8192
70.0,50.0,16282,8192
70.0,50.0,14304,8192
70.0,50.0,14382,8192
70.0,50.0,14426,8192
70.0,50.0,24598,16384
70.0,60.0,6740,4096
70.0,60.0,8222,4096
70.0,60.0,7490,4096
70.0,60.0,8270,4096
70.0,60.0,12080,8192
70.0,60.0,11886,8192
70.0,60.0,12428,8192
70.0,60.0,15894,8192
70.0,60.0,15808,8192
70.0,60.0,15328,8192
70.0,70.0,4182,2048
70.0,70.0,7216,4096
70.0,70.0,6750,4096
70.0,70.0,12318,8192
70.0,70.0,16304,8192
70.0,70.0,16378,8192
70.0,70.0,15404,8192
70.0,70.0,20512,16384
70.0,70.0,28568,16384
70.0,70.0,28652,16384
70.0,80.0,12364,8192
70.0,80.0,16344,8192
70.0,80.0,16260,8192
70.0,80.0,15400,8192
70.0,80.0,16198,8192
70.0,80.0,16248,8192
70.0,80.0,16452,8192
70.0,80.0,13468,8192
70.0,80.0,20192,16384
70.0,80.0,24630,16384
70.0,90.0,8240,4096
70.0,90.0,8220,4096
70.0,90.0,7226,4096
70.0,90.0,14378,8192
70.0,90.0,14364,8192
70.0,90.0,15404,8192
70.0,90.0,12362,8192
70.0,90.0,16296,8192
70.0,90.0,15404,8192
70.0,90.0,20124,16384
70.0,100.0,7332,4096
70.0,100.0,8128,4096
70.0,100.0,8224,4096
70.0,100.0,12316,8192
70.0,100.0,12030,8192
70.0,100.0,14330,8192
70.0,100.0,16358,8192
70.0,100.0,16422,8192
70.0,100.0,16076,8192
70.0,100.0,16292,8192
80.0,0.0,4158,2048
80.0,0.0,6284,4096
80.0,0.0,12280,8192
80.0,0.0,12400,8192
80.0,0.0,10328,8192
80.0,0.0,14172,8192
80.0,0.0,16398,8192
80.0,0.0,16386,8192
80.0,0.0,16056,8192
80.0,0.0,14422,8192
80.0,10.0,5252,4096
80.0,10.0,8286,4096
80.0,10.0,8258,4096
80.0,10.0,8264,4096
80.0,10.0,6428,4096
80.0,10.0,8204,4096
80.0,10.0,12266,8192
80.0,10.0,12310,8192
80.0,10.0,14406,8192
80.0,10.0,16342,8192
80.0,20.0,8262,4096
80.0,20.0,14880,8192
80.0,20.0,15964,8192
80.0,20.0,14410,8192
80.0,20.0,15332,8192
80.0,20.0,16202,8192
80.0,20.0,15158,8192
80.0,20.0,16404,8192
80.0,20.0,16402,8192
80.0,20.0,22600,16384
80.0,30.0,7228,4096
80.0,30.0,12144,8192
80.0,30.0,12252,8192
80.0,30.0,12344,8192
80.0,30.0,12326,8192
80.0,30.0,14414,8192
80.0,30.0,16294,8192
80.0,30.0,16270,8192
80.0,30.0,14392,8192
80.0,30.0,16334,8192
80.0,40.0,7166,4096
80.0,40.0,7996,4096
80.0,40.0,8244,4096
80.0,40.0,14364,8192
80.0,40.0,14404,8192
80.0,40.0,14932,8192
80.0,40.0,16298,8192
80.0,40.0,16240,8192
80.0,40.0,14372,8192
80.0,40.0,15398,8192
80.0,50.0,8260,4096
80.0,50.0,10144,8192
80.0,50.0,10222,8192
80.0,50.0,14316,8192
80.0,50.0,14380,8192
80.0,50.0,15874,8192
80.0,50.0,15592,8192
80.0,50.0,16426,8192
80.0,50.0,15436,8192
80.0,50.0,21550,16384
80.0,60.0,8218,4096
80.0,60.0,8244,4096
80.0,60.0,12314,8192
80.0,60.0,12368,8192
80.0,60.0,15416,8192
80.0,60.0,16266,8192
80.0,60.0,15844,8192
80.0,60.0,16292,8192
80.0,60.0,15932,8192
80.0,60.0,16228,8192
80.0,70.0,6204,4096
80.0,70.0,8236,4096
80.0,70.0,8180,4096
80.0,70.0,8260,4096
80.0,70.0,8188,4096
80.0,70.0,16260,8192
80.0,70.0,16158,8192
80.0,70.0,16124,8192
80.0,70.0,15314,8192
80.0,70.0,14408,8192
80.0,80.0,4196,2048
80.0,80.0,7748,4096
80.0,80.0,8232,4096
80.0,80.0,8740,4096
80.0,80.0,12338,8192
80.0,80.0,16412,8192
80.0,80.0,15898,8192
80.0,80.0,16420,8192
80.0,80.0,16182,8192
80.0,80.0,15420,8192
80.0,90.0,6382,4096
80.0,90.0,8312,4096
80.0,90.0,6298,4096
80.0,90.0,12812,8192
80.0,90.0,14358,8192
80.0,90.0,13418,8192
80.0,90.0,16404,8192
80.0,90.0,16396,8192
80.0,90.0,15800,8192
80.0,90.0,22556,16384
80.0,100.0,4216,2048
80.0,100.0,7168,4096
80.0,100.0,10440,8192
80.0,100.0,12334,8192
80.0,100.0,12334,8192
80.0,100.0,13102,8192
80.0,100.0,12316,8192
80.0,100.0,14110,8192
80.0,100.0,16426,8192
80.0,100.0,16392,8192
90.0,0.0,4130,2048
90.0,0.0,7122,4096
90.0,0.0,8276,4096
90.0,0.0,12410,8192
90.0,0.0,13434,8192
90.0,0.0,15754,8192
